Nllamados,Nido,Trt,SexoPadreCuidador,Nidada,LogNidada,Tiempo
1,Seiry,Saciado,Hembra,6,1.791759469,22.13
16,Seiry,Hambriento,Hembra,6,1.791759469,22.43
16,Seiry,Hambriento,Macho,6,1.791759469,22.46
2,Seiry,Saciado,Hembra,6,1.791759469,22.83
2,Seiry,Saciado,Macho,6,1.791759469,22.85
26,Seiry,Saciado,Hembra,6,1.791759469,23.03
1,Seiry,Saciado,Macho,6,1.791759469,23.35
8,Seiry,Saciado,Macho,6,1.791759469,23.55
8,Seiry,Saciado,Hembra,6,1.791759469,23.6
13,Seiry,Hambriento,Macho,6,1.791759469,23.81
2,Seiry,Saciado,Macho,6,1.791759469,24.01
15,Seiry,Hambriento,Hembra,6,1.791759469,24.23
8,Seiry,Hambriento,Macho,6,1.791759469,24.43
0,Seiry,Saciado,Hembra,6,1.791759469,24.45
10,Seiry,Saciado,Macho,6,1.791759469,24.55
6,Seiry,Hambriento,Macho,6,1.791759469,24.93
7,Seiry,Saciado,Macho,6,1.791759469,24.95
2,Seiry,Saciado,Macho,6,1.791759469,25.8
2,Seiry,Saciado,Macho,6,1.791759469,26
17,Seiry,Hambriento,Macho,6,1.791759469,26.01
11,Seiry,Saciado,Macho,6,1.791759469,26.16
13,Seiry,Hambriento,Macho,6,1.791759469,26.33
4,Seiry,Hambriento,Hembra,6,1.791759469,27.1
0,Seiry,Saciado,Macho,6,1.791759469,27.11
6,Seiry,Saciado,Hembra,6,1.791759469,27.4
26,Seiry,Saciado,Hembra,6,1.791759469,27.63
2,StAubin,Saciado,Hembra,4,1.386294361,22.51
2,StAubin,Saciado,Macho,4,1.386294361,22.51
12,StAubin,Hambriento,Hembra,4,1.386294361,22.55
0,StAubin,Saciado,Hembra,4,1.386294361,23.03
1,StAubin,Hambriento,Hembra,4,1.386294361,23.03
2,StAubin,Hambriento,Macho,4,1.386294361,23.3
6,StAubin,Saciado,Hembra,4,1.386294361,23.35
1,StAubin,Saciado,Hembra,4,1.386294361,23.61
9,StAubin,Hambriento,Hembra,4,1.386294361,23.66
8,StAubin,Hambriento,Hembra,4,1.386294361,23.85
6,StAubin,Hambriento,Hembra,4,1.386294361,24.06
0,StAubin,Saciado,Hembra,4,1.386294361,24.38
0,StAubin,Hambriento,Hembra,4,1.386294361,24.38
4,StAubin,Hambriento,Hembra,4,1.386294361,25.11
0,StAubin,Saciado,Hembra,4,1.386294361,25.3
3,StAubin,Hambriento,Hembra,4,1.386294361,25.36
5,StAubin,Saciado,Hembra,4,1.386294361,26.16
0,StAubin,Saciado,Hembra,4,1.386294361,26.83
0,StAubin,Hambriento,Macho,4,1.386294361,27.25
1,StAubin,Hambriento,Hembra,4,1.386294361,27.43
9,StAubin,Saciado,Hembra,4,1.386294361,27.43
12,StAubin,Hambriento,Hembra,4,1.386294361,27.71
8,StAubin,Hambriento,Hembra,4,1.386294361,27.91
16,Trey,Hambriento,Hembra,5,1.609437912,22.05
1,Trey,Saciado,Hembra,5,1.609437912,22.43
12,Trey,Saciado,Macho,5,1.609437912,22.73
25,Trey,Saciado,Hembra,5,1.609437912,22.9
16,Trey,Saciado,Macho,5,1.609437912,23.2
20,Trey,Saciado,Hembra,5,1.609437912,23.45
23,Trey,Saciado,Macho,5,1.609437912,23.73
2,Trey,Saciado,Hembra,5,1.609437912,24.15
11,Trey,Saciado,Hembra,5,1.609437912,24.36
11,Trey,Saciado,Hembra,5,1.609437912,24.5
3,Trey,Saciado,Macho,5,1.609437912,24.6
18,Trey,Saciado,Macho,5,1.609437912,24.93
5,Trey,Saciado,Hembra,5,1.609437912,25.28
1,Trey,Saciado,Hembra,5,1.609437912,25.8
1,Trey,Saciado,Macho,5,1.609437912,25.86
8,Trey,Saciado,Hembra,5,1.609437912,26.1
0,Trey,Saciado,Macho,5,1.609437912,27.66
11,Trey,Saciado,Hembra,5,1.609437912,27.76
11,Trey,Saciado,Hembra,5,1.609437912,27.93
10,Yvonnand,Saciado,Hembra,7,1.945910149,21.71
10,Yvonnand,Saciado,Hembra,7,1.945910149,21.73
17,Yvonnand,Saciado,Hembra,7,1.945910149,21.91
17,Yvonnand,Saciado,Macho,7,1.945910149,21.93
17,Yvonnand,Saciado,Hembra,7,1.945910149,21.95
6,Yvonnand,Hambriento,Macho,7,1.945910149,21.96
19,Yvonnand,Hambriento,Hembra,7,1.945910149,22.18
4,Yvonnand,Saciado,Macho,7,1.945910149,22.28
31,Yvonnand,Hambriento,Macho,7,1.945910149,22.3
31,Yvonnand,Hambriento,Macho,7,1.945910149,22.5
10,Yvonnand,Saciado,Macho,7,1.945910149,22.56
23,Yvonnand,Hambriento,Hembra,7,1.945910149,22.6
23,Yvonnand,Hambriento,Macho,7,1.945910149,22.6
15,Yvonnand,Hambriento,Macho,7,1.945910149,22.9
0,Yvonnand,Saciado,Macho,7,1.945910149,23.25
6,Yvonnand,Saciado,Hembra,7,1.945910149,23.46
1,Yvonnand,Saciado,Hembra,7,1.945910149,23.53
1,Yvonnand,Saciado,Hembra,7,1.945910149,23.63
9,Yvonnand,Hambriento,Macho,7,1.945910149,24
6,Yvonnand,Hambriento,Macho,7,1.945910149,24.31
8,Yvonnand,Hambriento,Macho,7,1.945910149,24.56
10,Yvonnand,Hambriento,Macho,7,1.945910149,24.73
4,Yvonnand,Saciado,Macho,7,1.945910149,25.25
11,Yvonnand,Saciado,Hembra,7,1.945910149,25.41
9,Yvonnand,Saciado,Hembra,7,1.945910149,25.56
14,Yvonnand,Saciado,Hembra,7,1.945910149,25.76
13,Yvonnand,Hambriento,Macho,7,1.945910149,26.15
22,Yvonnand,Hambriento,Macho,7,1.945910149,26.76
7,Yvonnand,Hambriento,Macho,7,1.945910149,27.23
7,Yvonnand,Hambriento,Hembra,7,1.945910149,27.25
5,Yvonnand,Hambriento,Macho,7,1.945910149,28.45
15,Yvonnand,Hambriento,Hembra,7,1.945910149,28.86
10,Yvonnand,Hambriento,Macho,7,1.945910149,29.21
0,Yvonnand,Saciado,Hembra,7,1.945910149,29.23
